2016-06-03 19:51:04,792 | views | put | DEBUG | Incoming data: {u'name': u'watermelon'} 
2016-06-03 19:51:04,792 | views | put | DEBUG | Incoming data: {u'name': u'watermelon'} 
2016-06-03 19:51:04,806 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,806 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,806 | views | post | DEBUG | POST request for recipes: 
2016-06-03 19:51:04,806 | views | post | DEBUG | POST request for recipes: 
2016-06-03 19:51:04,822 | views | post | DEBUG | Incoming data: {u'rating': 5, u'notes': [{u'note': u'Dont forget the liver'}, {u'note': u'and fish sauce'}], u'steps': [{u'step': u'Combine meat, seasonings', u'order': 1}, {u'step': u'Shape into loaf pan', u'order': 2}, {u'step': u'Bake for 1 hour', u'order': 3}], u'name': u'Meatloaf'} 
2016-06-03 19:51:04,822 | views | post | DEBUG | Incoming data: {u'rating': 5, u'notes': [{u'note': u'Dont forget the liver'}, {u'note': u'and fish sauce'}], u'steps': [{u'step': u'Combine meat, seasonings', u'order': 1}, {u'step': u'Shape into loaf pan', u'order': 2}, {u'step': u'Bake for 1 hour', u'order': 3}], u'name': u'Meatloaf'} 
2016-06-03 19:51:04,845 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,848 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,849 | views | post | DEBUG | POST request for recipes: 
2016-06-03 19:51:04,849 | views | post | DEBUG | POST request for recipes: 
2016-06-03 19:51:04,849 | views | post | DEBUG | Incoming data: {u'rating': 5, u'notes': [{u'note': u'use old el paso'}], u'steps': [{u'step': u'brown beef', u'order': 1}, {u'step': u'add seasoning', u'order': 2}, {u'step': u'cook unitl done', u'order': 3}], u'name': u'Burrito'} 
2016-06-03 19:51:04,849 | views | post | DEBUG | Incoming data: {u'rating': 5, u'notes': [{u'note': u'use old el paso'}], u'steps': [{u'step': u'brown beef', u'order': 1}, {u'step': u'add seasoning', u'order': 2}, {u'step': u'cook unitl done', u'order': 3}], u'name': u'Burrito'} 
2016-06-03 19:51:04,875 | views | index | DEBUG | GET request for all recipes 
2016-06-03 19:51:04,875 | views | index | DEBUG | GET request for all recipes 
2016-06-03 19:51:04,875 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,875 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,907 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,907 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,923 | views | delete | DEBUG | DELETE request for recipes 1: 
2016-06-03 19:51:04,923 | views | delete | DEBUG | DELETE request for recipes 1: 
2016-06-03 19:51:04,923 | views | get | DEBUG | GET request for recipes: id: 1 
2016-06-03 19:51:04,923 | views | get | DEBUG | GET request for recipes: id: 1 
2016-06-03 19:51:04,938 | views | get | DEBUG | 404 Error.  No recipes found with id 1. 
2016-06-03 19:51:04,938 | views | get | DEBUG | 404 Error.  No recipes found with id 1. 
2016-06-03 19:51:04,938 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,938 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,953 | views | index | DEBUG | GET request for all recipes 
2016-06-03 19:51:04,953 | views | index | DEBUG | GET request for all recipes 
2016-06-03 19:51:04,953 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,953 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:05,023 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,023 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,039 | views | get | DEBUG | GET request for recipes: id: 15 
2016-06-03 19:51:05,039 | views | get | DEBUG | GET request for recipes: id: 15 
2016-06-03 19:51:05,039 | views | get | DEBUG | 404 Error.  No recipes found with id 15. 
2016-06-03 19:51:05,039 | views | get | DEBUG | 404 Error.  No recipes found with id 15. 
2016-06-03 19:51:05,039 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,039 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,055 | views | get | DEBUG | GET request for recipes: id: 1 
2016-06-03 19:51:05,055 | views | get | DEBUG | GET request for recipes: id: 1 
2016-06-03 19:51:05,055 | views | get | DEBUG | recipes id:1 found. 
2016-06-03 19:51:05,055 | views | get | DEBUG | recipes id:1 found. 
2016-06-03 19:51:05,108 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,108 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,124 | views | put | DEBUG | PUT request for recipes: 
2016-06-03 19:51:05,124 | views | put | DEBUG | PUT request for recipes: 
2016-06-03 19:51:05,124 | views | put | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-03 19:51:05,124 | views | put | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-03 19:51:05,138 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,154 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,154 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,154 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,177 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,177 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,177 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,177 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,193 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,193 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,207 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:05,207 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:05,223 | connectionpool | _new_conn | INFO | Starting new HTTP connection (1): 127.0.0.1 
2016-06-03 19:51:05,223 | views | post | DEBUG | POST request for ingredients: 
2016-06-03 19:51:05,223 | views | post | DEBUG | POST request for ingredients: 
2016-06-03 19:51:05,223 | views | post | ERROR | No json_data for POST request 
2016-06-03 19:51:05,223 | views | post | ERROR | No json_data for POST request 
2016-06-03 19:51:05,240 | connectionpool | _make_request | DEBUG | "POST /ingredients/ HTTP/1.1" 400 42 
2016-06-03 19:51:31,517 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-03 19:51:31,517 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-03 19:51:31,539 | models | <module> | DEBUG | loading models.py 
2016-06-03 19:51:31,539 | models | <module> | DEBUG | loading models.py 
2016-06-03 19:51:31,572 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-03 19:51:31,572 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-03 19:51:31,602 | views | <module> | DEBUG | loading views.py 
2016-06-03 19:51:31,602 | views | <module> | DEBUG | loading views.py 
2016-06-03 19:51:31,841 | _internal | _log | WARNING |  * Debugger is active! 
2016-06-03 19:51:34,062 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-03 19:51:34,062 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-03 19:51:34,062 | models | <module> | DEBUG | loading models.py 
